persona_id,nombre,familia,pais,n_conexiones,n_matched,n_unmatched,n_conyuges,n_parejas,n_padres,n_hijos,n_cross_family,n_cross_country,familias_conectadas,paises_conectados
4580,María de la Concepción Palacios y Blanco,palacios_venezuela,venezuela,11,11,0,1,0,5,5,10,2,"bolívar, toro_venezuela",colombia
3750,Juan Vicente Bolívar y Ponte,palacios_venezuela,venezuela,12,10,2,1,0,6,5,8,3,"bolívar, toro_venezuela","chile, colombia"
1467,Dolores Vargas París,urdaneta,venezuela,8,8,0,1,0,4,3,7,3,parís,colombia
5991,Tomasa de la Quintana,escalada,argentina,8,6,2,1,0,3,4,6,0,"balcarce, san_martín",
721,Augusto Leguía,leguía,peru,6,6,0,1,0,2,3,6,0,diez_canseco,
437,Ana Jacoba García de Zúñiga,warnes,argentina,11,11,0,1,0,6,4,5,4,garcía_de_zúñiga,"chile, colombia"
588,Antonio José de Escalada,balcarce,argentina,9,7,2,1,0,3,5,5,0,san_martín,
4276,Manuel Antonio José Warnes,garcía_de_zúñiga,colombia,9,9,0,1,0,4,4,5,9,warnes,"argentina, chile"
146,Agustina López de Osornio,garcía-mansilla,argentina,8,8,0,1,0,2,5,5,0,ortiz_de_rozas,
3955,León Ortiz de Rozas,garcía-mansilla,argentina,8,8,0,1,0,2,5,5,0,ortiz_de_rozas,
4670,Mariano Ignacio Prado,málaga,peru,8,7,1,1,0,1,6,5,0,prado,
509,Andrónico Lukšić Abaroa,luksic,chile,7,5,2,1,0,2,4,5,0,fontbona,
3703,Juan Manuel de Rosas,ortiz_de_rozas,argentina,7,7,0,1,0,2,4,5,0,"belgrano, garcía-mansilla",
3019,Joaquín Prieto Warnes,garcía_de_zúñiga,chile,6,5,1,1,0,2,3,5,0,warnes,
3265,José de San Martín,san_martín,argentina,6,6,0,1,0,2,3,5,0,balcarce,
3749,Juan Vicente Bolívar Palacios,toro_venezuela,venezuela,6,5,1,0,1,2,3,5,0,palacios_venezuela,
3790,Juana Bolívar Palacios,toro_venezuela,venezuela,6,5,1,1,0,2,3,5,0,palacios_venezuela,
4469,María Antonia Bolívar Palacios,toro_venezuela,venezuela,6,5,1,1,0,2,3,5,0,palacios_venezuela,
4666,Mariano Escalada,san_martín,argentina,6,5,1,1,0,2,3,5,0,"balcarce, escalada",
4875,Mercedes Ortiz de Rozas,ortiz_de_rozas,argentina,6,5,1,1,0,2,3,5,1,"echenique, garcía-mansilla",chile
5375,Prudencio Rosas,ortiz_de_rozas,argentina,6,5,1,1,0,2,3,5,0,garcía-mansilla,
148,Agustina Paz de Roca,roca,argentina,5,5,0,1,1,2,1,5,0,paz,
5854,Simón Bolívar,bolívar,colombia,5,5,0,1,1,2,1,5,5,palacios_venezuela,"ecuador, venezuela"
660,Arturo Alessandri,morandé,chile,8,7,1,1,0,2,5,4,0,velasco_chile,
5669,Rosa Rodríguez (primera dama),morandé,chile,8,7,1,1,0,2,5,4,0,velasco_chile,
1483,Domingo Matte Mesías,bello,chile,7,6,1,1,0,1,5,4,0,matte,
2002,Feliciano Palacios y Sojo,toro_venezuela,venezuela,7,4,3,1,0,3,3,4,0,palacios_venezuela,
1275,Consuelo Lleras Puga,carrizosa,colombia,5,4,1,1,0,3,1,4,1,camargo,chile
6103,Victoria Subercaseaux Vicuña,subercaseaux,chile,5,5,0,1,0,2,2,4,0,"errázuriz, mackenna",
1389,Delfina de la Cruz,vial,chile,4,4,0,1,0,1,2,4,0,cruz_chile,
1407,Diana Turbay,turbay,colombia,4,4,0,1,0,2,1,4,0,quintero,
3968,Leonor Cortés Moctezuma,pizarro,chile,4,4,0,1,0,2,1,4,4,moctezuma,"colombia, mexico"
5632,Rodrigo Lloreda Caicedo,caicedo,colombia,4,4,0,1,0,1,2,4,0,cabal,
6105,Victoria Tristán de Echenique,echenique,peru,4,4,0,1,0,1,2,4,0,tristán_del_pozo,
5993,Tomasa de la Quintana,balcarce,argentina,8,6,2,1,0,3,4,3,0,san_martín,
2797,Ignacio de la Carrera y de las Cuevas,valdés_chile,chile,7,5,2,1,0,2,4,3,1,"acevedo_colombia, valdivieso",colombia
458,Ana de Narváez de Caro,caicedo,colombia,6,4,2,1,0,3,2,3,0,azuola,
615,Antonio Subercaseaux,subercaseaux,chile,6,5,1,1,0,3,2,3,0,errázuriz,
2243,Francisco Javier Errázuriz Aldunate,echaurren,chile,6,5,1,1,0,2,3,3,0,errázuriz,
3336,José Manuel Marroquín,nariño,colombia,6,4,2,1,0,2,3,3,0,ricaurte,
3852,Julio Caro,caicedo,colombia,6,5,1,1,0,2,3,3,0,azuola,
4252,Magdalena Vicuña Aguirre,errázuriz,chile,6,6,0,1,0,2,3,3,0,"mackenna, subercaseaux",
4352,Manuel José Yrarrázaval,concha_chile,chile,6,5,1,1,0,2,3,3,0,mackenna,
4581,María de las Nieves de Escalada,san_martín,argentina,6,4,2,1,0,2,3,3,0,balcarce,
4904,Miguel Antonio Caro,azuola,colombia,6,6,0,1,0,3,2,3,0,caicedo,
5297,Pedro Nel Ospina,lleras,colombia,6,6,0,1,0,3,2,3,0,ospina,
5502,Ramón Subercaseaux Mercado,errázuriz,chile,6,6,0,1,0,2,3,3,0,subercaseaux,
483,Andrés Marroquín Osorio,ricaurte,colombia,5,3,2,1,0,2,2,3,0,nariño,
3278,José Gregorio Gutiérrez,gutiérrez_díaz,colombia,5,5,0,1,0,2,2,3,0,caicedo,
4028,Lorenzo Marroquín,ricaurte,colombia,5,4,1,1,0,2,2,3,0,nariño,
4218,Luisa Garmendia,pinto_chile,argentina,5,3,2,1,0,2,2,3,3,"bulnes, cruz_chile",chile
4463,Manuela Warnes,warnes,chile,5,5,0,1,0,3,1,3,2,garcía_de_zúñiga,"argentina, colombia"
